Lee Sin,170724,391851,427997,1176,198,6
Evelynn,284825,153492,118217,136,64,5
Viego,164387,192821,189676,597,126,5
Blitzcrank,106155,70618,61929,421,181,3
Illaoi,102760,81309,68023,89,6,2
Swain,324610,452851,243453,2924,638,10
Trundle,56073,125543,105870,866,100,2
Kassadin,62401,43335,34197,170,35,2
Jax,30696,31917,46016,37,25,1
Sett,130866,185356,209908,314,112,3
Garen,236867,247977,454901,1373,286,5
Sion,256646,737352,710384,3049,325,7
Malphite,448777,306983,327216,4299,445,14
Twitch,250545,175387,85912,1219,88,7
Master Yi,307012,350533,355477,74,10,6
Wukong,211268,243149,285965,213,128,6
Urgot,106957,101743,119678,426,88,3
Cho'Gath,244519,451269,422797,2738,755,6
Leona,20029,44000,56977,129,84,1
Vladimir,377450,405471,231357,830,69,7
Shyvana,135853,80792,69207,5,2,4
Gnar,76031,131737,141742,617,117,2
Gangplank,620406,412725,241763,2738,210,12
Sejuani,43472,92868,86283,251,73,2
Riven,164525,176853,242230,305,197,6
Zac,91168,141823,201967,670,193,3
Mordekaiser,115258,131596,167241,547,64,3
Zeri,36535,37915,26874,72,7,2
Tahm Kench,162978,343276,571985,1573,258,5
Jayce,28862,20652,13602,68,9,1
Xerath,23003,20874,8123,148,37,1
Karthus,318170,175301,80289,2703,226,6
Katarina,127660,131330,86627,52,0,3
Azir,20536,26673,14317,98,11,1
Ryze,32985,38068,25555,33,18,1
Senna,16614,20766,8509,73,10,1
Nunu & Willump,235041,235257,188005,1205,286,9
Yone,252093,219589,285726,669,237,6
Jarvan IV,89076,131679,186599,588,98,2
Akshan,25418,20289,20440,22,0,1
Yasuo,84133,68896,87348,210,95,3
Dr. Mundo,149224,245844,189520,427,58,4
Lux,57682,34433,23985,597,126,2
Ashe,101818,48612,21306,1846,219,3
Corki,9091,12904,4239,8,1,1
Zilean,31595,37753,23497,245,33,1
Veigar,74871,48754,23926,395,102,2
Graves,20674,29818,26167,194,22,1
Jhin,21565,25330,12342,137,23,1
Tristana,34633,32334,19339,10,3,1
Brand,21217,18014,5913,24,17,1
Ziggs,24559,25017,9572,281,31,1
Rammus,60636,77621,179768,874,105,2
Ezreal,62805,52730,21369,0,0,3
Gwen,86463,95716,79833,200,20,3
Morgana,34232,31222,19604,459,100,1
LeBlanc,28532,27168,19769,21,15,1
Miss Fortune,33264,24716,12030,109,10,1
Rengar,14945,10563,5810,44,13,1
Fiddlesticks,109210,87017,48415,1046,190,2
Shaco,56638,108862,71787,739,79,3
Vel'Koz,62423,29753,9468,353,58,2
Bard,28872,28665,19477,478,113,2
K'Sante,17971,60277,93074,164,36,1
Syndra,110358,64390,37301,1226,166,3
Vayne,34640,35253,17363,20,11,1
Malzahar,17036,20853,11784,448,85,1
Fiora,53120,55725,51435,73,9,1
Maokai,37432,91331,71869,814,172,2
Sylas,23147,46185,38340,187,23,1
Yuumi,58193,20503,18819,112,44,1
