Cassiopeia,142657,166468,72629,2255,223,6
Jhin,37672,26699,16261,105,45,1
Nidalee,140016,136374,63979,20,3,5
Akali,168675,222393,199903,117,5,6
Seraphine,149901,146859,65239,2192,340,6
Singed,243303,394364,558913,5416,599,10
Xayah,291561,305194,148316,207,147,10
Jinx,228818,204800,86663,367,141,8
Jax,64285,71409,74843,117,47,2
Kai'Sa,307735,232260,126100,44,4,10
Darius,102094,183887,198879,522,102,4
Lillia,154741,228681,235238,1402,187,6
Caitlyn,111089,118362,50188,302,122,4
Garen,195073,283832,395935,1127,245,8
Malphite,112564,145839,159123,1063,128,4
Udyr,141205,139620,115068,78,33,4
Yasuo,27317,45606,50152,77,49,2
Jarvan IV,77333,135533,161597,692,104,3
Xerath,57185,36692,18133,228,66,2
Ornn,26579,37428,56939,220,37,1
Renekton,38973,68131,93909,30,27,1
Kayle,117058,128972,57827,405,19,4
Karthus,131326,67256,35246,701,63,2
Riven,35039,59456,77590,98,48,2
Lucian,203667,155639,90016,98,2,5
Nasus,10036,32793,24288,31,5,1
Dr. Mundo,74398,172212,174211,1196,59,3
Varus,28250,40712,23794,138,19,1
Master Yi,158280,232856,203548,39,5,5
Wukong,69814,82277,78670,80,49,2
Sett,199003,372998,369951,618,199,7
Olaf,39933,73235,93084,316,26,2
Miss Fortune,40609,30821,16530,368,17,1
Mordekaiser,266912,347493,584059,1230,133,7
Xin Zhao,39541,86363,72749,284,45,3
Ashe,230285,201396,104233,2537,296,5
Katarina,16415,30400,18711,0,0,1
Tryndamere,78093,168397,231352,835,51,5
Nautilus,46374,99904,156477,1153,251,3
Diana,51442,68060,58214,93,21,2
Brand,147643,112867,51544,423,102,5
Zac,40931,107546,100638,328,85,2
Kayn,54859,72417,64861,172,51,1
Nilah,26496,23978,21175,33,7,1
Irelia,175806,240520,404925,274,103,4
Hecarim,47738,97295,129652,151,39,2
Nunu & Willump,10093,26783,16595,104,21,1
Aatrox,62368,135217,174673,632,55,3
Fiora,34847,74348,74824,103,15,2
Sylas,110914,190927,144495,420,77,3
Leona,90301,189490,231809,297,172,3
Yone,94302,117878,114669,226,111,4
Fiddlesticks,20556,34287,18192,251,29,1
Ziggs,100260,92766,36740,932,89,4
Twitch,204,2290,653,12,2,1
Veigar,6604,14994,3843,29,15,1
Shaco,17691,26096,13129,201,26,1
Warwick,16804,42695,41100,133,26,1
Lee Sin,45033,55158,83510,107,31,1
Gragas,17341,53664,46041,266,43,1
Ekko,14803,40308,37400,144,23,1
Senna,37795,64751,46297,181,41,1
Yorick,31136,39717,61369,79,12,1
Kassadin,22178,39857,42377,96,22,1
Sion,24959,90138,96610,478,60,1
Swain,3258,14942,4924,63,9,1
Thresh,7915,23957,21464,181,28,1
Vayne,40354,64895,46103,457,22,2
Tahm Kench,15813,39859,58354,270,49,1
Amumu,21118,27273,13144,109,36,1
Blitzcrank,32051,56577,69187,801,82,1
Poppy,17933,30044,33059,207,41,1
Soraka,7414,46884,24610,185,43,1
Sivir,31760,40138,14752,4,0,1
